132.145.31.251:443 | 172.71.178.197 | GB | 269ms | cloudflare | 2023-07-30 02:51:54
140.238.75.250:443 | 172.70.162.157 | GB | 248ms | cloudflare | 2023-07-30 02:58:56
140.238.75.209:443 | 172.70.91.51   | GB | 246ms | cloudflare | 2023-07-30 02:58:56
140.238.73.95:443  | 172.70.90.123  | GB | 0ms | cloudflare | 2023-07-30 02:58:56
140.238.76.30:443  | 172.70.86.55   | GB | 270ms | cloudflare | 2023-07-30 02:58:56
140.238.77.245:443 | 172.71.242.34  | GB | 243ms | cloudflare | 2023-07-30 02:58:56
140.238.78.251:443 | 172.71.242.21  | GB | 250ms | cloudflare | 2023-07-30 02:58:56
140.238.77.144:443 | 172.70.162.5   | GB | 270ms | cloudflare | 2023-07-30 02:58:56
140.238.78.230:443 | 172.70.90.34   | GB | 250ms | cloudflare | 2023-07-30 02:58:56
140.238.77.160:443 | 172.71.178.83  | GB | 269ms | cloudflare | 2023-07-30 02:58:56
140.238.78.117:443 | 172.71.242.147 | GB | 275ms | cloudflare | 2023-07-30 02:58:56
140.238.79.230:443 | 172.70.162.82  | GB | 0ms | cloudflare | 2023-07-30 02:58:57
140.238.75.156:443 | 172.70.91.189  | GB | 270ms | cloudflare | 2023-07-30 02:58:57
140.238.79.201:443 | 172.71.242.209 | GB | 248ms | cloudflare | 2023-07-30 02:58:57
140.238.77.233:443 | 172.71.178.191 | GB | 0ms | cloudflare | 2023-07-30 02:58:57
140.238.86.48:443  | 172.70.90.237  | GB | 282ms | cloudflare | 2023-07-30 02:58:57
140.238.84.123:443 | 141.101.98.123 | GB | 271ms | cloudflare | 2023-07-30 02:58:57
140.238.79.179:443 | 172.70.85.103  | GB | 249ms | cloudflare | 2023-07-30 02:58:57
140.238.88.23:443  | 172.70.90.237  | GB | 267ms | cloudflare | 2023-07-30 02:58:57
140.238.85.244:443 | 172.70.85.102  | GB | 276ms | cloudflare | 2023-07-30 02:58:57
140.238.79.50:443  | 172.71.178.179 | GB | 268ms | cloudflare | 2023-07-30 02:58:57
140.238.90.128:443 | 172.70.91.189  | GB | 270ms | cloudflare | 2023-07-30 02:58:57
140.238.91.72:443  | 172.70.86.49   | GB | 244ms | cloudflare | 2023-07-30 02:58:58
140.238.91.26:443  | 172.70.86.46   | GB | 251ms | cloudflare | 2023-07-30 02:58:58
140.238.90.24:443  | 172.71.242.212 | GB | 255ms | cloudflare | 2023-07-30 02:58:58
140.238.83.97:443  | 141.101.98.92  | GB | 251ms | cloudflare | 2023-07-30 02:58:58
140.238.92.247:443 | 172.70.85.191  | GB | 270ms | cloudflare | 2023-07-30 02:58:58
140.238.92.225:443 | 172.70.90.237  | GB | 247ms | cloudflare | 2023-07-30 02:58:58
140.238.91.110:443 | 172.71.242.47  | GB | 271ms | cloudflare | 2023-07-30 02:58:58
140.238.89.171:443 | 172.70.86.59   | GB | 270ms | cloudflare | 2023-07-30 02:58:58
140.238.90.232:443 | 172.70.85.175  | GB | 270ms | cloudflare | 2023-07-30 02:58:58
140.238.73.230:443 | 172.70.86.59   | GB | 247ms | cloudflare | 2023-07-30 02:58:58
140.238.73.92:443  | 172.71.242.10  | GB | 268ms | cloudflare | 2023-07-30 02:58:58
140.238.77.87:443  | 172.70.90.237  | GB | 268ms | cloudflare | 2023-07-30 02:58:58
140.238.79.195:443 | 172.71.242.70  | GB | 276ms | cloudflare | 2023-07-30 02:58:58
140.238.92.215:443 | 172.70.91.162  | GB | 273ms | cloudflare | 2023-07-30 02:58:58
140.238.95.84:443  | 172.70.162.253 | GB | 248ms | cloudflare | 2023-07-30 02:58:59
140.238.69.38:443  | 172.70.162.22  | GB | 247ms | cloudflare | 2023-07-30 02:58:59
140.238.77.35:443  | 172.71.178.50  | GB | 246ms | cloudflare | 2023-07-30 02:58:59
140.238.77.27:443  | 172.71.242.27  | GB | 248ms | cloudflare | 2023-07-30 02:58:59
140.238.64.160:443 | 141.101.99.141 | GB | 292ms | cloudflare | 2023-07-30 02:58:59
140.238.64.107:443 | 172.70.91.232  | GB | 247ms | cloudflare | 2023-07-30 02:58:59
140.238.92.181:443 | 172.70.85.174  | GB | 0ms | cloudflare | 2023-07-30 02:58:59
140.238.91.33:443  | 172.71.242.148 | GB | 251ms | cloudflare | 2023-07-30 02:58:59
140.238.67.28:443  | 172.70.85.7    | GB | 270ms | cloudflare | 2023-07-30 02:58:59
140.238.70.158:443 | 172.70.91.140  | GB | 247ms | cloudflare | 2023-07-30 02:59:00
140.238.70.132:443 | 172.70.85.29   | GB | 269ms | cloudflare | 2023-07-30 02:59:00
140.238.72.68:443  | 172.70.85.7    | GB | 271ms | cloudflare | 2023-07-30 02:59:00
140.238.73.78:443  | 172.70.90.226  | GB | 278ms | cloudflare | 2023-07-30 02:59:00
140.238.70.251:443 | 172.71.178.57  | GB | 246ms | cloudflare | 2023-07-30 02:59:00
140.238.73.230:443 | 172.70.90.34   | GB | 246ms | cloudflare | 2023-07-30 02:59:00
140.238.64.75:443  | 172.70.85.176  | GB | 270ms | cloudflare | 2023-07-30 02:59:00
140.238.73.78:443  | 172.70.85.103  | GB | 278ms | cloudflare | 2023-07-30 02:59:00
140.238.73.92:443  | 141.101.98.92  | GB | 269ms | cloudflare | 2023-07-30 02:59:00
140.238.79.200:443 | 172.70.85.102  | GB | 275ms | cloudflare | 2023-07-30 02:59:00
140.238.76.91:443  | 172.71.178.127 | GB | 248ms | cloudflare | 2023-07-30 02:59:00
140.238.73.58:443  | 141.101.98.157 | GB | 247ms | cloudflare | 2023-07-30 02:59:00
140.238.70.206:443 | 172.70.86.160  | GB | 0ms | cloudflare | 2023-07-30 02:59:00
140.238.73.30:443  | 172.70.85.7    | GB | 247ms | cloudflare | 2023-07-30 02:59:00
140.238.72.25:443  | 172.71.178.14  | GB | 269ms | cloudflare | 2023-07-30 02:59:00
140.238.80.17:443  | 172.70.86.28   | GB | 0ms | cloudflare | 2023-07-30 02:59:00
140.238.73.140:443 | 172.71.178.111 | GB | 268ms | cloudflare | 2023-07-30 02:59:00
140.238.77.186:443 | 172.70.162.159 | GB | 249ms | cloudflare | 2023-07-30 02:59:00
140.238.76.165:443 | 172.71.242.27  | GB | 248ms | cloudflare | 2023-07-30 02:59:00
140.238.73.44:443  | 141.101.98.157 | GB | 288ms | cloudflare | 2023-07-30 02:59:00
140.238.76.226:443 | 172.70.91.58   | GB | 271ms | cloudflare | 2023-07-30 02:59:00
140.238.76.226:443 | 172.70.91.189  | GB | 271ms | cloudflare | 2023-07-30 02:59:00
140.238.78.165:443 | 172.70.90.164  | GB | 271ms | cloudflare | 2023-07-30 02:59:01
140.238.79.179:443 | 172.70.90.238  | GB | 249ms | cloudflare | 2023-07-30 02:59:01
140.238.77.27:443  | 172.70.85.108  | GB | 248ms | cloudflare | 2023-07-30 02:59:01
140.238.77.35:443  | 172.70.162.246 | GB | 247ms | cloudflare | 2023-07-30 02:59:01
140.238.77.87:443  | 172.70.85.57   | GB | 268ms | cloudflare | 2023-07-30 02:59:01
140.238.79.50:443  | 172.70.85.103  | GB | 268ms | cloudflare | 2023-07-30 02:59:01
140.238.79.200:443 | 172.71.242.88  | GB | 275ms | cloudflare | 2023-07-30 02:59:01
140.238.79.157:443 | 141.101.99.141 | GB | 294ms | cloudflare | 2023-07-30 02:59:01
140.238.67.43:443  | 172.71.178.95  | GB | 0ms | cloudflare | 2023-07-30 02:59:01
140.238.79.201:443 | 172.70.162.25  | GB | 248ms | cloudflare | 2023-07-30 02:59:01
140.238.78.117:443 | 172.71.242.231 | GB | 269ms | cloudflare | 2023-07-30 02:59:01
140.238.83.97:443  | 172.70.85.191  | GB | 249ms | cloudflare | 2023-07-30 02:59:01
140.238.84.64:443  | 172.70.91.232  | GB | 269ms | cloudflare | 2023-07-30 02:59:01
140.238.79.195:443 | 172.70.162.153 | GB | 276ms | cloudflare | 2023-07-30 02:59:01
140.238.79.255:443 | 172.71.242.10  | GB | 247ms | cloudflare | 2023-07-30 02:59:01
140.238.76.234:443 | 172.70.86.193  | GB | 268ms | cloudflare | 2023-07-30 02:59:01
140.238.78.251:443 | 172.71.242.209 | GB | 249ms | cloudflare | 2023-07-30 02:59:02
140.238.80.17:443  | 172.70.90.164  | GB | 0ms | cloudflare | 2023-07-30 02:59:02
140.238.85.244:443 | 172.70.86.193  | GB | 277ms | cloudflare | 2023-07-30 02:59:02
140.238.86.48:443  | 172.70.85.7    | GB | 276ms | cloudflare | 2023-07-30 02:59:02
140.238.77.43:443  | 172.70.86.185  | GB | 270ms | cloudflare | 2023-07-30 02:59:02
140.238.87.156:443 | 172.70.86.141  | GB | 272ms | cloudflare | 2023-07-30 02:59:02
140.238.79.84:443  | 172.71.178.10  | GB | 246ms | cloudflare | 2023-07-30 02:59:02
140.238.73.95:443  | 172.70.86.49   | GB | 0ms | cloudflare | 2023-07-30 02:59:02
140.238.77.186:443 | 172.70.85.29   | GB | 249ms | cloudflare | 2023-07-30 02:59:02
140.238.91.26:443  | 172.70.91.84   | GB | 252ms | cloudflare | 2023-07-30 02:59:02
140.238.72.100:443 | 172.70.90.34   | GB | 247ms | cloudflare | 2023-07-30 02:59:02
140.238.92.60:443  | 172.70.91.189  | GB | 246ms | cloudflare | 2023-07-30 02:59:03
140.238.91.57:443  | 172.70.90.164  | GB | 271ms | cloudflare | 2023-07-30 02:59:03
140.238.74.156:443 | 172.70.91.204  | GB | 276ms | cloudflare | 2023-07-30 02:59:03
140.238.92.247:443 | 172.71.242.165 | GB | 269ms | cloudflare | 2023-07-30 02:59:03
140.238.77.160:443 | 172.71.178.95  | GB | 271ms | cloudflare | 2023-07-30 02:59:03
140.238.91.216:443 | 172.70.90.238  | GB | 268ms | cloudflare | 2023-07-30 02:59:03
140.238.87.156:443 | 172.70.85.164  | GB | 272ms | cloudflare | 2023-07-30 02:59:03
140.238.77.245:443 | 141.101.99.69  | GB | 244ms | cloudflare | 2023-07-30 02:59:03
140.238.92.0:443   | 172.70.91.204  | GB | 250ms | cloudflare | 2023-07-30 02:59:03
140.238.90.232:443 | 172.71.178.18  | GB | 272ms | cloudflare | 2023-07-30 02:59:03
140.238.79.7:443   | 172.70.90.34   | GB | 248ms | cloudflare | 2023-07-30 02:59:03
140.238.71.206:443 | 172.70.162.212 | GB | 267ms | cloudflare | 2023-07-30 02:59:03
140.238.77.144:443 | 172.71.242.4   | GB | 269ms | cloudflare | 2023-07-30 02:59:03
140.238.93.161:443 | 172.70.162.76  | GB | 249ms | cloudflare | 2023-07-30 02:59:03
140.238.96.75:443  | 172.70.90.34   | GB | 268ms | cloudflare | 2023-07-30 02:59:03
140.238.74.234:443 | 172.70.86.46   | GB | 268ms | cloudflare | 2023-07-30 02:59:03
140.238.93.161:443 | 172.70.162.193 | GB | 250ms | cloudflare | 2023-07-30 02:59:03
140.238.98.109:443 | 172.70.86.72   | GB | 248ms | cloudflare | 2023-07-30 02:59:03
140.238.91.50:443  | 172.70.162.193 | GB | 0ms | cloudflare | 2023-07-30 02:59:04
140.238.97.167:443 | 172.70.91.204  | GB | 275ms | cloudflare | 2023-07-30 02:59:04
140.238.99.247:443 | 172.70.162.214 | GB | 251ms | cloudflare | 2023-07-30 02:59:04
140.238.102.31:443 | 172.70.85.175  | GB | 250ms | cloudflare | 2023-07-30 02:59:04
140.238.97.203:443 | 172.70.85.81   | GB | 248ms | cloudflare | 2023-07-30 02:59:04
140.238.98.67:443  | 172.71.242.47  | GB | 274ms | cloudflare | 2023-07-30 02:59:04
140.238.98.60:443  | 172.71.242.231 | GB | 278ms | cloudflare | 2023-07-30 02:59:04
140.238.100.10:443 | 172.70.90.238  | GB | 289ms | cloudflare | 2023-07-30 02:59:04
140.238.103.33:443 | 172.70.90.164  | GB | 252ms | cloudflare | 2023-07-30 02:59:04
140.238.99.7:443   | 172.71.178.213 | GB | 247ms | cloudflare | 2023-07-30 02:59:04
140.238.100.129:443 | 172.70.162.214 | GB | 254ms | cloudflare | 2023-07-30 02:59:04
140.238.72.100:443 | 172.71.242.231 | GB | 247ms | cloudflare | 2023-07-30 02:59:04
140.238.99.140:443 | 141.101.98.220 | GB | 249ms | cloudflare | 2023-07-30 02:59:04
140.238.101.131:443 | 172.70.86.49   | GB | 272ms | cloudflare | 2023-07-30 02:59:04
140.238.72.122:443 | 172.70.162.214 | GB | 271ms | cloudflare | 2023-07-30 02:59:04
140.238.101.83:443 | 172.70.162.163 | GB | 247ms | cloudflare | 2023-07-30 02:59:04
140.238.98.219:443 | 172.71.178.14  | GB | 0ms | cloudflare | 2023-07-30 02:59:04
140.238.101.171:443 | 172.70.85.99   | GB | 280ms | cloudflare | 2023-07-30 02:59:04
140.238.101.237:443 | 172.71.178.133 | GB | 268ms | cloudflare | 2023-07-30 02:59:05
140.238.102.157:443 | 172.70.85.70   | GB | 264ms | cloudflare | 2023-07-30 02:59:05
140.238.75.176:443 | 172.71.242.165 | GB | 267ms | cloudflare | 2023-07-30 02:59:05
140.238.74.137:443 | 172.71.242.4   | GB | 250ms | cloudflare | 2023-07-30 02:59:05
140.238.98.180:443 | 172.70.85.99   | GB | 270ms | cloudflare | 2023-07-30 02:59:06
140.238.99.30:443  | 172.71.242.88  | GB | 269ms | cloudflare | 2023-07-30 02:59:06
140.238.86.246:443 | 172.70.90.164  | GB | 256ms | cloudflare | 2023-07-30 02:59:06
140.238.74.137:443 | 172.70.85.164  | GB | 249ms | cloudflare | 2023-07-30 02:59:06
140.238.100.162:443 | 172.70.85.242  | GB | 244ms | cloudflare | 2023-07-30 02:59:06
140.238.98.239:443 | 172.71.242.53  | GB | 270ms | cloudflare | 2023-07-30 02:59:07
140.238.123.239:443 | 172.70.90.34   | GB | 248ms | cloudflare | 2023-07-30 02:59:07
140.238.91.33:443  | 172.70.86.49   | GB | 251ms | cloudflare | 2023-07-30 02:59:07
140.238.123.224:443 | 172.71.178.121 | GB | 271ms | cloudflare | 2023-07-30 02:59:07
140.238.78.230:443 | 172.71.178.127 | GB | 251ms | cloudflare | 2023-07-30 02:59:07
140.238.126.208:443 | 172.70.90.123  | GB | 270ms | cloudflare | 2023-07-30 02:59:07
140.238.122.108:443 | 141.101.98.168 | GB | 292ms | cloudflare | 2023-07-30 02:59:07
140.238.96.75:443  | 172.70.162.153 | GB | 267ms | cloudflare | 2023-07-30 02:59:07
140.238.99.107:443 | 172.70.90.34   | GB | 249ms | cloudflare | 2023-07-30 02:59:07
140.238.98.109:443 | 172.70.85.57   | GB | 247ms | cloudflare | 2023-07-30 02:59:07
140.238.98.30:443  | 172.70.91.211  | GB | 250ms | cloudflare | 2023-07-30 02:59:07
140.238.120.55:443 | 172.71.242.88  | GB | 248ms | cloudflare | 2023-07-30 02:59:07
140.238.102.31:443 | 172.70.85.108  | GB | 249ms | cloudflare | 2023-07-30 02:59:07
140.238.121.20:443 | 172.71.242.70  | GB | 247ms | cloudflare | 2023-07-30 02:59:07
140.238.99.247:443 | 172.70.91.51   | GB | 250ms | cloudflare | 2023-07-30 02:59:07
140.238.121.78:443 | 172.70.162.76  | GB | 249ms | cloudflare | 2023-07-30 02:59:07
140.238.97.113:443 | 172.71.178.111 | GB | 271ms | cloudflare | 2023-07-30 02:59:07
140.238.100.162:443 | 172.70.86.193  | GB | 244ms | cloudflare | 2023-07-30 02:59:07
140.238.99.140:443 | 172.70.90.123  | GB | 249ms | cloudflare | 2023-07-30 02:59:07
140.238.100.34:443 | 172.70.85.200  | GB | 289ms | cloudflare | 2023-07-30 02:59:07
140.238.99.37:443  | 172.71.242.212 | GB | 250ms | cloudflare | 2023-07-30 02:59:07
140.238.95.84:443  | 172.70.85.57   | GB | 248ms | cloudflare | 2023-07-30 02:59:07
140.238.97.129:443 | 141.101.99.140 | GB | 269ms | cloudflare | 2023-07-30 02:59:07
140.238.98.180:443 | 172.70.162.5   | GB | 272ms | cloudflare | 2023-07-30 02:59:08
140.238.103.184:443 | 172.70.85.29   | GB | 251ms | cloudflare | 2023-07-30 02:59:08
140.238.97.203:443 | 172.70.85.21   | GB | 247ms | cloudflare | 2023-07-30 02:59:08
140.238.98.190:443 | 172.70.91.211  | GB | 268ms | cloudflare | 2023-07-30 02:59:08
140.238.97.167:443 | 172.70.91.214  | GB | 271ms | cloudflare | 2023-07-30 02:59:08
140.238.96.11:443  | 172.70.91.58   | GB | 292ms | cloudflare | 2023-07-30 02:59:08
140.238.121.156:443 | 172.70.91.213  | GB | 254ms | cloudflare | 2023-07-30 02:59:08
140.238.97.213:443 | 141.101.98.182 | GB | 270ms | cloudflare | 2023-07-30 02:59:08
140.238.99.26:443  | 141.101.98.82  | GB | 273ms | cloudflare | 2023-07-30 02:59:08
140.238.98.67:443  | 172.70.162.185 | GB | 273ms | cloudflare | 2023-07-30 02:59:08
140.238.99.30:443  | 172.70.90.246  | GB | 271ms | cloudflare | 2023-07-30 02:59:08
140.238.101.171:443 | 172.70.162.239 | GB | 277ms | cloudflare | 2023-07-30 02:59:08
140.238.98.219:443 | 172.70.162.163 | GB | 0ms | cloudflare | 2023-07-30 02:59:08
140.238.100.10:443 | 172.70.162.238 | GB | 289ms | cloudflare | 2023-07-30 02:59:08
140.238.120.143:443 | 172.70.91.211  | GB | 0ms | cloudflare | 2023-07-30 02:59:08
140.238.98.109:443 | 172.70.85.21   | GB | 247ms | cloudflare | 2023-07-30 02:59:08
140.238.98.190:443 | 172.70.85.174  | GB | 268ms | cloudflare | 2023-07-30 02:59:08
140.238.99.7:443   | 172.70.90.164  | GB | 247ms | cloudflare | 2023-07-30 02:59:08
140.238.103.139:443 | 172.70.162.184 | GB | 250ms | cloudflare | 2023-07-30 02:59:08
140.238.97.113:443 | 172.70.91.211  | GB | 271ms | cloudflare | 2023-07-30 02:59:08
140.238.101.56:443 | 172.71.178.86  | GB | 271ms | cloudflare | 2023-07-30 02:59:08
140.238.99.140:443 | 172.70.86.193  | GB | 250ms | cloudflare | 2023-07-30 02:59:08
140.238.100.48:443 | 172.70.162.25  | GB | 270ms | cloudflare | 2023-07-30 02:59:08
140.238.99.247:443 | 172.71.178.50  | GB | 250ms | cloudflare | 2023-07-30 02:59:08
140.238.97.213:443 | 141.101.99.140 | GB | 270ms | cloudflare | 2023-07-30 02:59:08
140.238.100.34:443 | 172.70.162.5   | GB | 289ms | cloudflare | 2023-07-30 02:59:08
140.238.97.167:443 | 172.71.242.212 | GB | 268ms | cloudflare | 2023-07-30 02:59:08
140.238.98.180:443 | 141.101.98.168 | GB | 269ms | cloudflare | 2023-07-30 02:59:08
140.238.101.98:443 | 172.71.242.165 | GB | 255ms | cloudflare | 2023-07-30 02:59:08
140.238.99.26:443  | 141.101.99.140 | GB | 272ms | cloudflare | 2023-07-30 02:59:08
140.238.100.10:443 | 172.70.86.49   | GB | 289ms | cloudflare | 2023-07-30 02:59:08
140.238.102.230:443 | 172.71.178.14  | GB | 272ms | cloudflare | 2023-07-30 02:59:09
140.238.96.75:443  | 172.71.242.70  | GB | 268ms | cloudflare | 2023-07-30 02:59:09
140.238.99.37:443  | 172.70.90.90   | GB | 250ms | cloudflare | 2023-07-30 02:59:09
140.238.101.237:443 | 172.70.162.246 | GB | 268ms | cloudflare | 2023-07-30 02:59:09
140.238.102.40:443 | 172.71.178.50  | GB | 290ms | cloudflare | 2023-07-30 02:59:09
140.238.102.230:443 | 172.71.242.53  | GB | 270ms | cloudflare | 2023-07-30 02:59:09
140.238.98.102:443 | 172.70.91.214  | GB | 271ms | cloudflare | 2023-07-30 02:59:09
140.238.103.191:443 | 172.70.91.189  | GB | 270ms | cloudflare | 2023-07-30 02:59:09
140.238.97.129:443 | 172.71.242.21  | GB | 269ms | cloudflare | 2023-07-30 02:59:09
140.238.98.219:443 | 141.101.99.126 | GB | 0ms | cloudflare | 2023-07-30 02:59:09
140.238.100.162:443 | 141.101.98.92  | GB | 244ms | cloudflare | 2023-07-30 02:59:09
140.238.101.83:443 | 172.70.86.46   | GB | 247ms | cloudflare | 2023-07-30 02:59:09
140.238.99.30:443  | 172.71.242.47  | GB | 270ms | cloudflare | 2023-07-30 02:59:09
140.238.100.129:443 | 172.70.90.237  | GB | 255ms | cloudflare | 2023-07-30 02:59:10
140.238.100.48:443 | 172.70.162.114 | GB | 269ms | cloudflare | 2023-07-30 02:59:10
140.238.103.191:443 | 172.71.242.34  | GB | 270ms | cloudflare | 2023-07-30 02:59:10
140.238.78.13:443  | 172.70.162.253 | GB | 0ms | cloudflare | 2023-07-30 02:59:10
140.238.75.37:443  | 172.70.86.49   | GB | 269ms | cloudflare | 2023-07-30 02:59:10
140.238.99.107:443 | 172.70.91.189  | GB | 249ms | cloudflare | 2023-07-30 02:59:10
140.238.97.203:443 | 172.70.85.7    | GB | 247ms | cloudflare | 2023-07-30 02:59:10
140.238.85.130:443 | 141.101.99.126 | GB | 248ms | cloudflare | 2023-07-30 02:59:10
140.238.103.184:443 | 172.70.90.164  | GB | 248ms | cloudflare | 2023-07-30 02:59:11
140.238.79.133:443 | 172.71.242.219 | GB | 271ms | cloudflare | 2023-07-30 02:59:11
140.238.99.7:443   | 172.70.162.76  | GB | 247ms | cloudflare | 2023-07-30 02:59:12
140.238.91.72:443  | 172.70.91.51   | GB | 244ms | cloudflare | 2023-07-30 02:59:12
140.238.103.33:443 | 172.70.86.160  | GB | 250ms | cloudflare | 2023-07-30 02:59:12
140.238.91.110:443 | 172.70.85.7    | GB | 270ms | cloudflare | 2023-07-30 02:59:12
140.238.96.11:443  | 172.71.242.75  | GB | 292ms | cloudflare | 2023-07-30 02:59:12
140.238.98.60:443  | 172.70.85.30   | GB | 276ms | cloudflare | 2023-07-30 02:59:12
140.238.126.7:443  | 172.70.90.143  | GB | 248ms | cloudflare | 2023-07-30 02:59:12
140.238.98.30:443  | 172.70.85.57   | GB | 252ms | cloudflare | 2023-07-30 02:59:13
140.238.75.37:443  | 172.70.85.108  | GB | 269ms | cloudflare | 2023-07-30 02:59:14
140.238.102.161:443 | 172.70.85.7    | GB | 268ms | cloudflare | 2023-07-30 02:59:14
140.238.99.26:443  | 172.71.178.95  | GB | 273ms | cloudflare | 2023-07-30 02:59:15
140.238.103.139:443 | 172.71.242.204 | GB | 250ms | cloudflare | 2023-07-30 02:59:16
140.238.97.0:443   | 172.70.85.191  | GB | 280ms | cloudflare | 2023-07-30 02:59:17
140.238.98.146:443 | 172.70.90.34   | GB | 277ms | cloudflare | 2023-07-30 02:59:18
141.147.74.232:443 | 172.70.90.239  | GB | 247ms | cloudflare | 2023-07-30 03:00:27
141.147.74.73:443  | 172.71.242.34  | GB | 0ms | cloudflare | 2023-07-30 03:00:37
143.47.232.217:443 | 172.70.90.236  | GB | 249ms | cloudflare | 2023-07-30 03:02:04
144.21.51.247:443  | 172.70.162.202 | GB | 0ms | cloudflare | 2023-07-30 03:02:15
143.47.227.23:443  | 172.71.178.51  | GB | 0ms | cloudflare | 2023-07-30 03:05:36
150.230.112.75:443 | 172.71.178.50  | GB | 249ms | cloudflare | 2023-07-30 03:09:03
150.230.113.136:443 | 172.70.85.31   | GB | 247ms | cloudflare | 2023-07-30 03:09:04
150.230.114.184:443 | 141.101.99.141 | GB | 249ms | cloudflare | 2023-07-30 03:09:04
150.230.115.191:443 | 172.70.162.156 | GB | 247ms | cloudflare | 2023-07-30 03:09:04
150.230.114.247:443 | 172.70.90.237  | GB | 271ms | cloudflare | 2023-07-30 03:09:04
150.230.117.140:443 | 172.71.242.208 | GB | 290ms | cloudflare | 2023-07-30 03:09:05
150.230.117.206:443 | 172.70.85.80   | GB | 291ms | cloudflare | 2023-07-30 03:09:05
150.230.118.242:443 | 172.71.178.15  | GB | 268ms | cloudflare | 2023-07-30 03:09:05
150.230.121.237:443 | 172.71.242.31  | GB | 254ms | cloudflare | 2023-07-30 03:09:05
150.230.120.223:443 | 172.70.86.194  | GB | 271ms | cloudflare | 2023-07-30 03:09:05
150.230.123.161:443 | 172.71.242.10  | GB | 254ms | cloudflare | 2023-07-30 03:09:05
150.230.123.63:443 | 172.70.85.130  | GB | 282ms | cloudflare | 2023-07-30 03:09:05
150.230.124.177:443 | 141.101.99.98  | GB | 270ms | cloudflare | 2023-07-30 03:09:06
150.230.125.107:443 | 172.70.85.98   | GB | 272ms | cloudflare | 2023-07-30 03:09:07
150.230.120.200:443 | 172.71.242.201 | GB | 247ms | cloudflare | 2023-07-30 03:09:09
150.230.116.81:443 | 172.70.91.140  | GB | 251ms | cloudflare | 2023-07-30 03:09:14
150.230.114.161:443 | 172.70.86.159  | GB | 269ms | cloudflare | 2023-07-30 03:09:18
152.67.131.75:443  | 172.71.242.89  | GB | 0ms | cloudflare | 2023-07-30 03:09:50
152.67.143.214:443 | 172.71.242.208 | GB | 249ms | cloudflare | 2023-07-30 03:09:50
152.67.134.227:443 | 172.70.91.235  | GB | 0ms | cloudflare | 2023-07-30 03:09:50
152.67.146.81:443  | 172.71.178.140 | GB | 248ms | cloudflare | 2023-07-30 03:09:51
152.67.141.129:443 | 172.70.91.235  | GB | 0ms | cloudflare | 2023-07-30 03:09:51
152.67.150.150:443 | 172.71.242.208 | GB | 270ms | cloudflare | 2023-07-30 03:09:51
152.67.142.140:443 | 172.70.90.238  | GB | 0ms | cloudflare | 2023-07-30 03:09:51
